data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2023-10-31 01:58:47.327180;4488;VIACAO ALTO PETROPOLIS LTDA;IRN0363;M. BENZ;OF 1722M                                          ;2011-01-11;2010.0;DIESEL
2023-10-31 01:58:47.327180;1098;TRANSPORTES COLETIVOS TREVO LTDA;IQJ0J33;M. BENZ;OF 1722M                                          ;2009-12-09;2009.0;DIESEL
2023-10-31 01:58:47.327180;2162;VIACAO TERESOPOLIS CAVALHADA LTDA;IRO1390;M. BENZ;OF 1722M                                          ;2011-01-22;2010.0;DIESEL
2023-10-31 01:58:47.327180;4305;VIACAO ESTORIL LTDA;ISJ1632;M. BENZ;O-500M                                            ;2011-10-07;2011.0;DIESEL
2023-10-31 01:58:47.327180;1053;TRANSPORTES COLETIVOS TREVO LTDA;ISM2641;M. BENZ;OF 1722                                           ;2011-11-12;2011.0;DIESEL
2023-10-31 01:58:47.327180;1128;TRANSPORTES COLETIVOS TREVO LTDA;ISM2646;M. BENZ;OF 1722                                           ;2011-11-12;2011.0;DIESEL
2023-10-31 01:58:47.327180;6162;AUTO VIACAO NAVEGANTES LTDA;IUI2667;M. BENZ;OF 1721                                           ;2013-05-29;2012.0;DIESEL
2023-10-31 01:58:47.327180;3131;SUDESTE TRANSPORTES COLETIVOS LTDA;ITV3060;M. BENZ;O500MA                                            ;2012-12-12;2012.0;DIESEL
2023-10-31 01:58:47.327180;2224;VIACAO TERESOPOLIS CAVALHADA LTDA;ISK3408;M. BENZ;OF 1722                                           ;2011-10-22;2011.0;DIESEL
2023-10-31 01:58:47.327180;755;COMPANHIA CARRIS PORTO ALEGRENSE;IRA3859;M. BENZ;O500 U                                            ;2010-08-12;2010.0;DIESEL
2023-10-31 01:58:47.327180;3501;EMPRESA DE TRANSPORTES GASÔMETRO S.A.;IQM4J53;M. BENZ;OF 1722M                                          ;2010-01-27;2009.0;DIESEL
2023-10-31 01:58:47.327180;3132;SUDESTE TRANSPORTES COLETIVOS LTDA;ITW5244;M. BENZ;O500MA                                            ;2012-12-21;2012.0;DIESEL
2023-10-31 01:58:47.327180;1015;TRANSPORTES COLETIVOS TREVO LTDA;IRJ5356;M. BENZ;OF 1722M                                          ;2010-12-01;2010.0;DIESEL
2023-10-31 01:58:47.327180;6722;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IRZ5430;M. BENZ;OF 1722M                                          ;2011-06-22;2011.0;DIESEL
2023-10-31 01:58:47.327180;785;COMPANHIA CARRIS PORTO ALEGRENSE;ISX5439;M. BENZ;O-500M                                            ;2012-03-21;2011.0;DIESEL
2023-10-31 01:58:47.327180;2007;AUTO VIACAO PRESIDENTE VARGAS LTDA;IQC5573;M. BENZ;O-500M                                            ;2009-09-11;2009.0;DIESEL
2023-10-31 01:58:47.327180;6453;NORTRAN TRANSPORTES COLETIVOS LTDA;;;;;;
2023-10-31 01:58:47.327180;1034;TRANSPORTES COLETIVOS TREVO LTDA;IRM0164;M. BENZ;OF 1722M                                          ;2010-12-23;2010.0;DIESEL
2023-10-31 01:58:47.327180;703;COMPANHIA CARRIS PORTO ALEGRENSE;IQN0939;VOLVO                                             ;B7R                                               ;2010-02-05;2009.0;DIESEL
2023-10-31 01:58:47.327180;4306;VIACAO ESTORIL LTDA;ISJ1625;M. BENZ;O-500M                                            ;2011-10-07;2011.0;DIESEL
2023-10-31 01:58:47.327180;4016;EMPRESA DE TRANSPORTES GASÔMETRO S.A.;IRO1645;M. BENZ;OF 1722M                                          ;2011-01-25;2010.0;DIESEL
2023-10-31 01:58:47.327180;3089;SUDESTE TRANSPORTES COLETIVOS LTDA;IRB2472;M. BENZ;O-500M                                            ;2010-08-25;2010.0;DIESEL
2023-10-31 01:58:47.327180;1158;TRANSPORTES COLETIVOS TREVO LTDA;ISM2648;M. BENZ;OF 1722                                           ;2011-11-12;2011.0;DIESEL
2023-10-31 01:58:47.327180;720;COMPANHIA CARRIS PORTO ALEGRENSE;IQY3932;VOLVO                                             ;B7R                                               ;2010-07-16;2010.0;DIESEL
2023-10-31 01:58:47.327180;3090;SUDESTE TRANSPORTES COLETIVOS LTDA;IRI0157;M. BENZ;O500MA                                            ;2010-11-24;2010.0;DIESEL
2023-10-31 01:58:47.327180;6435;NORTRAN TRANSPORTES COLETIVOS LTDA;ITH0318;M. BENZ;OF 1722                                           ;2012-07-09;2011.0;DIESEL
2023-10-31 01:58:47.327180;1138;TRANSPORTES COLETIVOS TREVO LTDA;IQJ0953;M. BENZ;OF 1722M                                          ;2009-12-09;2009.0;DIESEL
2023-10-31 01:58:47.327180;1186;TRANSPORTES COLETIVOS TREVO LTDA;IQJ1040;M. BENZ;OF 1722M                                          ;2009-12-09;2009.0;DIESEL
2023-10-31 01:58:47.327180;4520;VIACAO ALTO PETROPOLIS LTDA;IPH1845;M. BENZ;OF 1722M                                          ;2008-11-06;2008.0;DIESEL
2023-10-31 01:58:47.327180;2499;RESTINGA TRANSPORTES COLETIVOS LTDA;ISM3D81;M. BENZ;O-500M                                            ;2011-11-12;2011.0;DIESEL
2023-10-31 01:58:47.327180;756;COMPANHIA CARRIS PORTO ALEGRENSE;IRA3858;M. BENZ;O500 U                                            ;2010-08-12;2010.0;DIESEL
2023-10-31 01:58:47.327180;753;COMPANHIA CARRIS PORTO ALEGRENSE;IRA3I62;M. BENZ;O500 U                                            ;2010-08-12;2010.0;DIESEL
2023-10-31 01:58:47.327180;734;COMPANHIA CARRIS PORTO ALEGRENSE;IQY3921;VOLVO                                             ;B7R                                               ;2010-07-16;2010.0;DIESEL
2023-10-31 01:58:47.327180;3509;EMPRESA DE TRANSPORTES GASÔMETRO S.A.;IQM4A65;M. BENZ;OF 1722M                                          ;2010-01-27;2009.0;DIESEL
2023-10-31 01:58:47.327180;4496;VIACAO ALTO PETROPOLIS LTDA;ITT6207;M. BENZ;O-500M                                            ;2012-11-29;2012.0;DIESEL
2023-10-31 01:58:47.327180;3080;SUDESTE TRANSPORTES COLETIVOS LTDA;IRA6496;M. BENZ;O-500M                                            ;2010-08-14;2010.0;DIESEL
2023-10-31 01:58:47.327180;1013;TRANSPORTES COLETIVOS TREVO LTDA;ITE6875;M. BENZ;OF 1722                                           ;2012-06-19;2011.0;DIESEL
2023-10-31 01:58:47.327180;6497;NORTRAN TRANSPORTES COLETIVOS LTDA;IRB6985;M. BENZ;OF 1722M                                          ;2010-09-03;2010.0;DIESEL
2023-10-31 01:58:47.327180;1011;TRANSPORTES COLETIVOS TREVO LTDA;IRL7266;M. BENZ;OF 1722M                                          ;2010-12-23;2010.0;DIESEL
2023-10-31 01:58:47.327180;2182;VIACAO TERESOPOLIS CAVALHADA LTDA;ISU7440;M. BENZ;OF 1722M                                          ;2012-02-15;2011.0;DIESEL
2023-10-31 01:58:47.327180;4021;EMPRESA DE TRANSPORTES GASÔMETRO S.A.;IQB7588;M. BENZ;O-500M                                            ;2009-08-31;2009.0;DIESEL
2023-10-31 01:58:47.327180;823;COMPANHIA CARRIS PORTO ALEGRENSE;IWI7665;VOLVO                                             ;B340MA                                            ;2015-02-19;2014.0;DIESEL
2023-10-31 01:58:47.327180;2313;VIACAO BELEM NOVO LTDA;ITF7670;M. BENZ;OF 1722                                           ;2012-06-28;2011.0;DIESEL
2023-10-31 01:58:47.327180;2187;VIACAO TERESOPOLIS CAVALHADA LTDA;ITW8182;M. BENZ;O-500M                                            ;2012-12-26;2012.0;DIESEL
2023-10-31 01:58:47.327180;2059;AUTO VIACAO PRESIDENTE VARGAS LTDA;ISQ8226;M. BENZ;O-500M                                            ;2011-12-29;2011.0;DIESEL
2023-10-31 01:58:47.327180;2016;AUTO VIACAO PRESIDENTE VARGAS LTDA;ISQ8277;M. BENZ;O-500M                                            ;2011-12-29;2011.0;DIESEL
2023-10-31 01:58:47.327180;6675;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISI8936;M. BENZ;OF 1722                                           ;2011-10-05;2011.0;DIESEL
